Quadrat von	   1 = 1
Quadrat von	   2 = 4
Quadrat von	   3 = 9
Quadrat von	   4 = 16
Quadrat von	   5 = 25
Quadrat von	   6 = 36
Quadrat von	   7 = 49
Quadrat von	   8 = 64
Quadrat von	   9 = 81
Quadrat von	  10 = 100
Quadrat von	  11 = 121
Quadrat von	  12 = 144
Quadrat von	  13 = 169
Quadrat von	  14 = 196
Quadrat von	  15 = 225
Quadrat von	  16 = 256
Quadrat von	  17 = 289
Quadrat von	  18 = 324
Quadrat von	  19 = 361
Quadrat von	  20 = 400
Quadrat von	  21 = 441
Quadrat von	  22 = 484
Quadrat von	  23 = 529
Quadrat von	  24 = 576
Quadrat von	  25 = 625
Quadrat von	  26 = 676
Quadrat von	  27 = 729
Quadrat von	  28 = 784
Quadrat von	  29 = 841
Quadrat von	  30 = 900
Quadrat von	  31 = 961
Quadrat von	  32 = 1024
Quadrat von	  33 = 1089
Quadrat von	  34 = 1156
Quadrat von	  35 = 1225
Quadrat von	  36 = 1296
Quadrat von	  37 = 1369
Quadrat von	  38 = 1444
Quadrat von	  39 = 1521
Quadrat von	  40 = 1600
Quadrat von	  41 = 1681
Quadrat von	  42 = 1764
Quadrat von	  43 = 1849
Quadrat von	  44 = 1936
Quadrat von	  45 = 2025
Quadrat von	  46 = 2116
Quadrat von	  47 = 2209
Quadrat von	  48 = 2304
Quadrat von	  49 = 2401
Quadrat von	  50 = 2500
Quadrat von	  51 = 2601
Quadrat von	  52 = 2704
Quadrat von	  53 = 2809
Quadrat von	  54 = 2916
Quadrat von	  55 = 3025
Quadrat von	  56 = 3136
Quadrat von	  57 = 3249
Quadrat von	  58 = 3364
Quadrat von	  59 = 3481
Quadrat von	  60 = 3600
Quadrat von	  61 = 3721
Quadrat von	  62 = 3844
Quadrat von	  63 = 3969
Quadrat von	  64 = 4096
Quadrat von	  65 = 4225
Quadrat von	  66 = 4356
Quadrat von	  67 = 4489
Quadrat von	  68 = 4624
Quadrat von	  69 = 4761
Quadrat von	  70 = 4900
Quadrat von	  71 = 5041
Quadrat von	  72 = 5184
Quadrat von	  73 = 5329
Quadrat von	  74 = 5476
Quadrat von	  75 = 5625
Quadrat von	  76 = 5776
Quadrat von	  77 = 5929
Quadrat von	  78 = 6084
